Data,Tipo de Campanha,Tipo de Anúncio,Valor Gasto,Alcance,Impressões,Cliques,Leads,Vendas,Valor de Venda,AnoMes
2024-01-01,Email Marketing,Automação de E-mails,17.89,147,269,16,7,0,0.0,2024-01
2024-01-02,Mídia,Anúncios em Vídeo,42.29,596,705,9,2,0,0.0,2024-01
2024-01-03,Mídia,Anúncios em Vídeo,14.62,88,110,3,1,3,436.73,2024-01
2024-01-04,Mídia,Anúncios em Vídeo,33.25,424,467,7,1,0,0.0,2024-01
2024-01-05,Geração de Leads,E-books,12.92,66,111,4,0,0,0.0,2024-01
2024-01-06,Email Marketing,Segmentação de Listas,36.38,468,507,11,3,0,0.0,2024-01
2024-01-07,Mídia,Anúncios em Vídeo,14.89,225,257,4,1,0,0.0,2024-01
2024-01-08,Mídia,Anúncios Display,49.66,594,630,20,4,4,296.96,2024-01
2024-01-09,Engajamento,Redes Sociais,49.69,812,1235,15,7,1,7.44,2024-01
2024-01-10,CRO,Testes A/B,14.42,263,519,18,4,0,0.0,2024-01
2024-01-11,Mídia,Anúncios Display,32.85,634,1251,41,4,0,0.0,2024-01
2024-01-12,Mídia,Anúncios em Áudio,29.07,272,456,9,1,0,0.0,2024-01
2024-01-13,CRO,Otimização de Landing Pages,46.66,323,609,10,2,0,0.0,2024-01
2024-01-14,Mídia,Anúncios em Áudio,13.72,126,165,7,2,4,163.0,2024-01
2024-01-15,Email Marketing,Segmentação de Listas,41.56,313,413,11,4,0,0.0,2024-01
2024-01-16,Mídia,Anúncios Display,21.62,419,485,13,5,0,0.0,2024-01
2024-01-17,Mídia,Anúncios em Vídeo,31.44,580,803,17,6,0,0.0,2024-01
2024-01-18,Email Marketing,Automação de E-mails,12.97,130,213,10,2,0,0.0,2024-01
2024-01-19,Geração de Leads,Webinars,21.86,350,689,35,14,3,37.06,2024-01
2024-01-20,Email Marketing,Automação de E-mails,32.05,416,559,26,7,0,0.0,2024-01
2024-01-21,Geração de Leads,Estudos de Caso,33.23,623,732,22,4,0,0.0,2024-01
2024-01-22,SEO,Conteúdo Evergreen,11.36,189,376,8,2,0,0.0,2024-01
2024-01-23,CRO,Pop-ups,10.24,130,160,8,3,1,48.57,2024-01
2024-01-24,Mídia,Anúncios Display,15.17,298,441,14,3,2,98.25,2024-01
2024-01-25,Mídia,Anúncios Display,46.74,582,1032,35,4,1,53.47,2024-01
2024-01-26,SEO,Otimização de Palavras-chave,13.29,193,270,10,3,4,68.33,2024-01
2024-01-27,Geração de Leads,Estudos de Caso,44.92,613,1016,43,9,4,106.75,2024-01
2024-01-28,Email Marketing,Segmentação de Listas,41.93,251,282,12,1,0,0.0,2024-01
2024-01-29,SEO,Otimização de Palavras-chave,34.54,468,926,28,9,0,0.0,2024-01
2024-01-30,Geração de Leads,Estudos de Caso,35.85,607,870,46,6,0,0.0,2024-01
2024-01-31,Mídia,Anúncios em Vídeo,30.34,577,872,13,4,0,0.0,2024-01
2024-02-01,SEO,Link Building,21.39,332,512,25,11,4,27.46,2024-02
2024-02-02,Email Marketing,Boletins Informativos,33.49,668,1245,16,6,3,146.64,2024-02
2024-02-03,Mídia,Anúncios em Áudio,21.4,211,366,8,2,0,0.0,2024-02
2024-02-04,Email Marketing,Boletins Informativos,19.31,194,281,11,3,5,382.76,2024-02
2024-02-05,Geração de Leads,E-books,37.57,497,924,30,4,1,23.31,2024-02
2024-02-06,Mídia,Anúncios em Áudio,24.32,473,708,35,10,3,45.66,2024-02
2024-02-07,SEO,Link Building,25.17,377,439,7,3,0,0.0,2024-02
2024-02-08,Mídia,Anúncios em Vídeo,25.49,241,298,3,1,1,144.29,2024-02
2024-02-09,Email Marketing,Automação de E-mails,46.1,623,838,35,10,6,118.55,2024-02
2024-02-10,Geração de Leads,Webinars,27.58,507,777,21,9,0,0.0,2024-02
2024-02-11,Email Marketing,Segmentação de Listas,27.8,238,379,10,3,0,0.0,2024-02
2024-02-12,CRO,Testes A/B,36.82,732,1124,35,10,2,24.84,2024-02
2024-02-13,Upsell,Ofertas de Upgrade,22.32,380,521,13,2,0,0.0,2024-02
2024-02-14,Upsell,Cross-selling,41.59,454,897,29,6,3,137.26,2024-02
2024-02-15,Geração de Leads,E-books,26.12,400,416,18,6,0,0.0,2024-02
2024-02-16,Mídia,Anúncios Display,48.87,961,1197,14,2,1,53.85,2024-02
2024-02-17,Mídia,Anúncios Display,28.17,266,529,8,2,0,0.0,2024-02
2024-02-18,Mídia,Anúncios em Vídeo,32.66,476,593,24,5,4,207.77,2024-02
2024-02-19,Mídia,Anúncios em Vídeo,11.44,60,92,2,0,0,0.0,2024-02
2024-02-20,Email Marketing,Boletins Informativos,48.75,446,640,11,3,1,65.63,2024-02
2024-02-21,Engajamento,Fóruns,18.2,103,196,6,1,2,419.97,2024-02
2024-02-22,Engajamento,Fóruns,12.5,144,184,7,1,0,0.0,2024-02
2024-02-23,CRO,Otimização de Landing Pages,24.65,208,293,9,3,0,0.0,2024-02
2024-02-24,Mídia,Anúncios Display,34.03,679,1186,33,7,4,36.39,2024-02
2024-02-25,SEO,Conteúdo Evergreen,49.39,767,815,10,3,4,389.02,2024-02
2024-02-26,Engajamento,Redes Sociais,19.78,149,174,5,1,0,0.0,2024-02
2024-02-27,Email Marketing,Automação de E-mails,21.9,110,142,5,1,2,349.59,2024-02
2024-02-28,Mídia,Anúncios em Áudio,32.88,570,666,8,2,0,0.0,2024-02
2024-02-29,Email Marketing,Boletins Informativos,30.18,464,809,34,8,0,0.0,2024-02
2024-03-01,SEO,Otimização de Palavras-chave,49.09,688,883,31,12,0,0.0,2024-03
2024-03-02,Upsell,Cross-selling,27.61,359,593,15,2,4,111.75,2024-03
2024-03-03,SEO,Otimização de Palavras-chave,19.58,170,320,6,2,0,0.0,2024-03
2024-03-04,Email Marketing,Boletins Informativos,36.46,544,782,17,2,2,146.88,2024-03
2024-03-05,Upsell,Cross-selling,39.68,529,939,49,9,0,0.0,2024-03
2024-03-06,Mídia,Anúncios em Áudio,47.2,423,678,25,7,0,0.0,2024-03
2024-03-07,Geração de Leads,Webinars,24.46,247,458,12,3,0,0.0,2024-03
2024-03-08,Upsell,Cross-selling,36.22,587,1165,42,18,5,28.46,2024-03
2024-03-09,Email Marketing,Segmentação de Listas,47.92,446,716,15,5,0,0.0,2024-03
2024-03-10,Mídia,Anúncios em Vídeo,45.03,330,400,10,2,0,0.0,2024-03
2024-03-11,Geração de Leads,Webinars,31.5,482,641,19,5,2,93.76,2024-03
2024-03-12,Engajamento,Comentários em Blogs,44.55,533,735,27,3,0,0.0,2024-03
2024-03-13,Geração de Leads,Estudos de Caso,44.74,310,319,13,3,0,0.0,2024-03
2024-03-14,Mídia,Anúncios Display,32.64,494,867,24,5,2,78.8,2024-03
2024-03-15,SEO,Otimização de Palavras-chave,46.99,688,762,34,8,2,59.75,2024-03
2024-03-16,SEO,Conteúdo Evergreen,49.0,647,1237,62,13,4,65.31,2024-03
2024-03-17,SEO,Conteúdo Evergreen,47.99,566,1128,25,4,4,260.64,2024-03
2024-03-18,SEO,Conteúdo Evergreen,36.46,253,443,24,10,1,16.0,2024-03
2024-03-19,SEO,Conteúdo Evergreen,22.98,129,143,5,1,0,0.0,2024-03
2024-03-20,Engajamento,Comentários em Blogs,23.05,151,267,11,2,0,0.0,2024-03
2024-03-21,Email Marketing,Segmentação de Listas,49.35,845,1275,53,11,3,61.33,2024-03
2024-03-22,SEO,Otimização de Palavras-chave,26.18,501,986,14,4,0,0.0,2024-03
2024-03-23,Mídia,Anúncios em Áudio,21.64,356,494,8,2,0,0.0,2024-03
2024-03-24,SEO,Link Building,50.12,356,520,7,1,4,1052.74,2024-03
2024-03-25,SEO,Conteúdo Evergreen,32.29,480,734,30,7,0,0.0,2024-03
2024-03-26,Mídia,Anúncios Display,40.08,388,742,12,3,0,0.0,2024-03
2024-03-27,Mídia,Anúncios em Vídeo,40.94,749,1189,69,15,0,0.0,2024-03
2024-03-28,Geração de Leads,Webinars,22.79,222,313,11,4,0,0.0,2024-03
2024-03-29,Engajamento,Fóruns,18.31,128,164,3,1,0,0.0,2024-03
2024-03-30,CRO,Pop-ups,10.45,71,103,3,0,0,0.0,2024-03
2024-03-31,Email Marketing,Automação de E-mails,32.35,289,475,22,5,2,110.85,2024-03
2024-04-01,Mídia,Anúncios em Vídeo,23.74,151,159,3,0,0,0.0,2024-04
2024-04-02,Mídia,Anúncios em Vídeo,13.76,187,212,5,1,3,538.02,2024-04
2024-04-03,Geração de Leads,Webinars,19.08,241,379,11,5,5,138.24,2024-04
2024-04-04,Mídia,Anúncios em Vídeo,11.86,143,272,3,1,5,497.37,2024-04
2024-04-05,Email Marketing,Automação de E-mails,25.55,262,296,6,1,0,0.0,2024-04
2024-04-06,Mídia,Anúncios em Vídeo,22.54,412,679,18,5,0,0.0,2024-04
2024-04-07,CRO,Pop-ups,25.01,319,426,9,1,0,0.0,2024-04
2024-04-08,Email Marketing,Segmentação de Listas,29.96,505,849,28,3,4,104.02,2024-04
2024-04-09,Email Marketing,Segmentação de Listas,50.84,532,557,16,5,0,0.0,2024-04
2024-04-10,CRO,Pop-ups,12.42,96,189,10,1,4,383.9,2024-04
2024-04-11,Email Marketing,Segmentação de Listas,32.79,419,495,23,5,0,0.0,2024-04
2024-04-12,Mídia,Anúncios Display,19.92,262,438,14,5,0,0.0,2024-04
2024-04-13,CRO,Otimização de Landing Pages,24.96,148,174,7,1,0,0.0,2024-04
2024-04-14,CRO,Pop-ups,34.51,458,555,7,3,0,0.0,2024-04
2024-04-15,SEO,Conteúdo Evergreen,42.87,497,872,45,10,3,28.38,2024-04
2024-04-16,Mídia,Anúncios em Áudio,43.69,346,613,20,4,0,0.0,2024-04
2024-04-17,Upsell,Ofertas de Upgrade,43.23,660,1245,41,11,5,27.45,2024-04
2024-04-18,Mídia,Anúncios Display,30.99,608,941,13,4,0,0.0,2024-04
2024-04-19,Engajamento,Fóruns,15.3,254,406,16,3,0,0.0,2024-04
2024-04-20,Mídia,Anúncios em Áudio,39.78,569,704,19,5,5,176.92,2024-04
2024-04-21,Email Marketing,Automação de E-mails,39.01,516,817,43,13,0,0.0,2024-04
2024-04-22,Email Marketing,Boletins Informativos,36.6,626,659,7,1,0,0.0,2024-04
2024-04-23,SEO,Link Building,49.1,365,636,21,7,0,0.0,2024-04
2024-04-24,SEO,Link Building,18.63,318,478,12,4,0,0.0,2024-04
2024-04-25,Mídia,Anúncios em Vídeo,29.54,167,199,8,2,1,73.52,2024-04
2024-04-26,Email Marketing,Automação de E-mails,17.77,313,486,8,1,0,0.0,2024-04
2024-04-27,Mídia,Anúncios Display,34.14,410,656,14,3,0,0.0,2024-04
2024-04-28,Engajamento,Fóruns,33.12,216,252,8,1,3,473.06,2024-04
2024-04-29,Engajamento,Redes Sociais,37.6,402,629,19,4,0,0.0,2024-04
2024-04-30,SEO,Link Building,45.76,729,846,10,3,0,0.0,2024-04
2024-05-01,SEO,Link Building,36.82,380,415,9,4,5,188.06,2024-05
2024-05-02,Mídia,Anúncios em Áudio,28.09,197,277,5,1,0,0.0,2024-05
2024-05-03,Geração de Leads,Webinars,31.68,407,567,29,7,0,0.0,2024-05
2024-05-04,Email Marketing,Boletins Informativos,25.03,462,726,34,13,4,83.97,2024-05
2024-05-05,Geração de Leads,E-books,28.87,371,586,13,2,0,0.0,2024-05
2024-05-06,SEO,Conteúdo Evergreen,49.98,373,599,7,1,0,0.0,2024-05
2024-05-07,CRO,Testes A/B,36.3,665,806,23,8,2,62.48,2024-05
2024-05-08,Engajamento,Redes Sociais,18.03,131,199,5,1,0,0.0,2024-05
2024-05-09,Mídia,Anúncios Display,20.26,140,255,8,3,4,386.47,2024-05
2024-05-10,Upsell,Bundles,43.62,232,353,6,2,0,0.0,2024-05
2024-05-11,Email Marketing,Automação de E-mails,28.45,366,603,22,4,4,291.78,2024-05
2024-05-12,Mídia,Anúncios em Áudio,34.1,315,335,13,4,0,0.0,2024-05
2024-05-13,SEO,Link Building,22.4,329,616,25,9,0,0.0,2024-05
2024-05-14,CRO,Pop-ups,37.67,441,827,16,3,4,172.01,2024-05
2024-05-15,Mídia,Anúncios em Vídeo,24.21,376,420,7,1,1,93.16,2024-05
2024-05-16,CRO,Otimização de Landing Pages,46.31,669,1225,15,2,0,0.0,2024-05
2024-05-17,SEO,Link Building,48.58,669,813,25,5,1,31.22,2024-05
2024-05-18,SEO,Link Building,27.61,383,559,14,2,5,482.78,2024-05
2024-05-19,Mídia,Anúncios Display,11.75,84,156,2,0,0,0.0,2024-05
2024-05-20,Mídia,Anúncios em Vídeo,24.62,154,230,3,1,5,444.98,2024-05
2024-05-21,Mídia,Anúncios em Áudio,12.37,66,111,4,1,0,0.0,2024-05
2024-05-22,Upsell,Bundles,51.84,806,1197,37,9,0,0.0,2024-05
2024-05-23,Mídia,Anúncios Display,24.91,185,248,4,2,2,120.88,2024-05
2024-05-24,Mídia,Anúncios em Áudio,32.18,161,204,6,3,0,0.0,2024-05
2024-05-25,Email Marketing,Boletins Informativos,16.06,304,430,17,6,3,71.28,2024-05
2024-05-26,Geração de Leads,E-books,37.32,530,808,17,6,3,149.86,2024-05
2024-05-27,Email Marketing,Segmentação de Listas,44.8,450,538,23,4,3,151.85,2024-05
2024-05-28,Upsell,Bundles,30.46,197,310,10,3,5,262.51,2024-05
2024-05-29,Engajamento,Comentários em Blogs,47.27,858,1173,28,6,0,0.0,2024-05
2024-05-30,SEO,Otimização de Palavras-chave,12.01,209,391,8,3,0,0.0,2024-05
2024-05-31,Mídia,Anúncios Display,16.7,285,440,14,5,0,0.0,2024-05
2024-06-01,Mídia,Anúncios Display,15.9,203,359,14,4,3,201.75,2024-06
2024-06-02,SEO,Otimização de Palavras-chave,11.41,181,324,12,3,0,0.0,2024-06
2024-06-03,SEO,Conteúdo Evergreen,49.43,881,1149,19,5,3,90.84,2024-06
2024-06-04,Email Marketing,Boletins Informativos,43.55,627,1188,36,8,3,95.79,2024-06
2024-06-05,Mídia,Anúncios Display,35.59,585,782,25,5,0,0.0,2024-06
2024-06-06,Upsell,Cross-selling,33.78,294,516,21,8,0,0.0,2024-06
2024-06-07,Email Marketing,Automação de E-mails,18.1,255,470,24,9,3,95.11,2024-06
2024-06-08,Mídia,Anúncios em Áudio,32.88,326,565,12,3,2,67.96,2024-06
2024-06-09,Upsell,Bundles,39.15,746,1235,21,5,0,0.0,2024-06
2024-06-10,Mídia,Anúncios em Áudio,48.66,886,1270,31,5,5,103.18,2024-06
2024-06-11,Geração de Leads,E-books,26.24,273,484,12,2,0,0.0,2024-06
2024-06-12,CRO,Testes A/B,14.9,297,543,21,4,1,22.95,2024-06
2024-06-13,Engajamento,Redes Sociais,15.0,154,235,7,2,4,382.78,2024-06
2024-06-14,Engajamento,Redes Sociais,37.88,442,445,13,3,0,0.0,2024-06
2024-06-15,Geração de Leads,E-books,42.73,656,1012,14,2,0,0.0,2024-06
2024-06-16,Mídia,Anúncios Display,31.41,593,983,51,13,5,28.79,2024-06
2024-06-17,Engajamento,Comentários em Blogs,21.13,356,529,21,5,0,0.0,2024-06
2024-06-18,Mídia,Anúncios Display,52.05,909,1726,28,7,5,90.52,2024-06
2024-06-19,Mídia,Anúncios em Áudio,15.77,164,190,8,2,0,0.0,2024-06
2024-06-20,Email Marketing,Automação de E-mails,21.2,160,251,5,1,0,0.0,2024-06
2024-06-21,Mídia,Anúncios Display,46.75,584,748,26,9,0,0.0,2024-06
2024-06-22,CRO,Otimização de Landing Pages,18.99,156,256,6,1,3,266.27,2024-06
2024-06-23,Upsell,Bundles,10.69,204,302,10,3,0,0.0,2024-06
2024-06-24,Engajamento,Comentários em Blogs,40.83,281,298,6,1,4,813.85,2024-06
2024-06-25,Geração de Leads,E-books,32.7,293,340,14,3,0,0.0,2024-06
2024-06-26,CRO,Testes A/B,51.04,502,636,13,2,3,138.75,2024-06
2024-06-27,Geração de Leads,Webinars,18.67,342,392,15,4,3,184.46,2024-06
2024-06-28,Email Marketing,Segmentação de Listas,26.97,284,379,15,3,0,0.0,2024-06
2024-06-29,Upsell,Ofertas de Upgrade,38.46,478,889,9,3,0,0.0,2024-06
2024-06-30,Engajamento,Fóruns,13.03,241,340,4,1,4,204.82,2024-06
